y,x,R,G,B
325,588,0,2,0
325,589,0,2,0
325,590,0,2,0
325,591,0,2,0
325,592,0,3,1
325,593,0,3,1
325,594,0,3,1
325,595,0,3,1
325,596,0,3,1
325,597,0,3,1
325,598,0,3,1
325,599,0,3,1
325,600,0,0,0
325,601,0,0,0
325,602,0,0,0
325,603,0,0,0
325,604,0,0,0
325,605,0,0,0
325,606,0,0,0
325,607,0,0,0
325,608,0,0,0
325,609,0,0,0
325,610,0,0,0
325,611,0,0,0
325,612,0,0,0
325,613,0,0,0
325,614,0,0,0
325,615,0,0,0
325,616,0,0,0
325,617,0,0,0
325,618,0,0,0
325,619,0,0,0
325,620,0,0,0
325,621,0,0,0
325,622,0,0,0
325,623,0,0,0
325,624,0,0,0
325,625,0,0,0
325,626,0,0,0
325,627,0,0,0
325,628,0,0,0
325,629,0,0,0
325,630,0,0,0
325,631,0,0,0
325,632,0,0,0
325,633,0,0,0
325,634,0,0,0
325,635,0,0,0
325,636,0,0,0
325,637,0,0,0
325,638,0,0,0
325,639,0,0,0
325,640,0,1,0
325,641,0,1,0
325,642,0,1,0
325,643,0,1,0
325,644,0,1,0
325,645,0,1,0
325,646,0,1,0
325,647,0,1,0
325,648,0,1,0
325,649,0,1,0
325,650,0,1,0
325,651,0,1,0
325,652,0,1,0
325,653,0,1,0
325,654,0,1,0
325,655,0,1,0
325,656,0,2,0
325,657,0,2,0
325,658,0,2,0
325,659,0,2,0
325,660,0,2,0
325,661,0,2,0
325,662,0,2,0
325,663,0,2,0
325,664,0,1,0
325,665,0,1,0
325,666,0,1,0
325,667,0,1,0
325,668,0,1,0
325,669,0,1,0
325,670,0,1,0
325,671,0,1,0
325,672,0,2,0
325,673,0,2,0
325,674,0,2,0
325,675,0,2,0
325,676,0,2,0
325,677,0,2,0
325,678,0,2,0
325,679,0,2,0
325,680,0,2,0
325,681,0,2,0
325,682,0,2,0
325,683,0,2,0
325,684,0,2,0
325,685,0,2,0
325,686,0,2,0
325,687,0,2,0
325,688,0,0,0
325,689,0,0,0
325,690,0,0,0
325,691,0,0,0
325,692,0,0,0
325,693,0,0,0
325,694,0,0,0
325,695,0,0,0
325,696,0,0,0
325,697,0,0,0
325,698,0,0,0
325,699,0,0,0
325,700,0,0,0
325,701,0,0,0
325,702,0,0,0
325,703,0,0,0
325,704,0,2,0
325,705,0,2,0
325,706,0,2,0
325,707,0,2,0
325,708,0,2,0
325,709,0,2,0
325,710,0,2,0
325,711,0,2,0
325,712,0,2,0
325,713,0,2,0
325,714,0,2,0
325,715,0,2,0
325,716,0,2,0
325,717,0,2,0
325,718,0,2,0
325,719,0,2,0
325,720,0,0,0
325,721,0,0,0
325,722,0,0,0
325,723,0,0,0
325,724,0,0,0
325,725,0,0,0
325,726,0,0,0
325,727,0,0,0
325,728,0,0,0
325,729,0,0,0
325,730,0,0,0
325,731,0,0,0
325,732,0,0,0
325,733,0,0,0
325,734,0,0,0
325,735,0,0,0
325,736,0,0,0
325,737,0,0,0
325,738,0,0,0
325,739,0,0,0
325,740,0,0,0
325,741,0,0,0
325,742,0,0,0
325,743,0,0,0
325,744,0,0,0
325,745,0,0,0
325,746,0,0,0
325,747,0,0,0
325,748,0,0,0
325,749,0,0,0
325,750,0,0,0
325,751,0,0,0
325,752,0,0,0
325,753,0,0,0
325,754,0,0,0
325,755,0,0,0
325,756,0,0,0
325,757,0,0,0
325,758,0,0,0
325,759,0,0,0
325,760,0,0,0
325,761,0,0,0
325,762,0,0,0
325,763,0,0,0
325,764,0,0,0
325,765,0,0,0
325,766,0,0,0
325,767,0,0,0
325,1152,0,0,0
325,1153,0,0,0
325,1154,0,0,0
325,1155,0,0,0
325,1156,0,0,0
325,1157,0,0,0
325,1158,0,0,0
325,1159,0,0,0
325,1160,0,0,0
325,1161,0,0,0
325,1162,0,0,0
325,1163,0,0,0
325,1164,0,0,0
325,1165,0,0,0
325,1166,0,0,0
325,1167,0,0,0
325,1168,0,0,0
325,1169,0,0,0
325,1170,0,0,0
325,1171,0,0,0
325,1172,0,0,0
325,1173,0,0,0
325,1174,0,0,0
325,1175,0,0,0
325,1176,0,0,0
325,1177,0,0,0
325,1178,0,0,0
325,1179,0,0,0
325,1180,0,0,0
325,1181,0,0,0
325,1182,0,0,0
325,1183,0,0,0
325,1184,0,0,0
325,1185,0,0,0
325,1186,0,0,0
325,1187,0,0,0
325,1188,0,0,0
325,1189,0,0,0
325,1190,0,0,0
325,1191,0,0,0
325,1192,0,0,0
325,1193,0,0,0
325,1194,0,0,0
325,1195,0,0,0
325,1196,0,0,0
325,1197,0,0,0
325,1198,0,0,0
325,1199,0,0,0
325,1200,0,0,0
325,1201,0,0,0
325,1202,0,0,0
325,1203,0,0,0
325,1204,0,0,0
325,1205,0,0,0
325,1206,0,0,0
325,1207,0,0,0
325,1208,0,0,0
325,1209,0,0,0
325,1210,0,0,0
325,1211,0,0,0
325,1212,0,0,0
325,1213,0,0,0
325,1214,0,0,0
325,1215,0,0,0
325,1216,0,0,0
325,1217,0,0,0
